"","Title","cluster"
"1","Toy Story (1995)",1
"2","GoldenEye (1995)",2
"3","Four Rooms (1995)",2
"4","Get Shorty (1995)",1
"5","Copycat (1995)",2
"6","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",3
"7","Twelve Monkeys (1995)",1
"8","Babe (1995)",1
"9","Dead Man Walking (1995)",3
"10","Richard III (1995)",1
"11","Seven (Se7en) (1995)",2
"12","Usual Suspects, The (1995)",2
"13","Mighty Aphrodite (1995)",4
"14","Postino, Il (1994)",5
"15","Mr. Holland's Opus (1995)",3
"16","French Twist (Gazon maudit) (1995)",5
"17","From Dusk Till Dawn (1996)",2
"18","White Balloon, The (1995)",3
"19","Antonia's Line (1995)",3
"20","Angels and Insects (1995)",5
"21","Muppet Treasure Island (1996)",1
"22","Braveheart (1995)",1
"23","Taxi Driver (1976)",2
"24","Rumble in the Bronx (1995)",2
"25","Birdcage, The (1996)",4
"26","Brothers McMullen, The (1995)",4
"27","Bad Boys (1995)",2
"28","Apollo 13 (1995)",2
"29","Batman Forever (1995)",2
"30","Belle de jour (1967)",3
"31","Crimson Tide (1995)",1
"32","Crumb (1994)",1
"33","Desperado (1995)",5
"34","Doom Generation, The (1995)",6
"35","Free Willy 2: The Adventure Home (1995)",1
"36","Mad Love (1995)",5
"37","Nadja (1994)",3
"38","Net, The (1995)",2
"39","Strange Days (1995)",2
"40","To Wong Foo, Thanks for Everything! Julie Newmar (1995)",4
"41","Billy Madison (1995)",4
"42","Clerks (1994)",4
"43","Disclosure (1994)",2
"44","Dolores Claiborne (1994)",2
"45","Eat Drink Man Woman (1994)",6
"46","Exotica (1994)",3
"47","Ed Wood (1994)",6
"48","Hoop Dreams (1994)",1
"49","I.Q. (1994)",5
"50","Star Wars (1977)",1
"51","Legends of the Fall (1994)",1
"52","Madness of King George, The (1994)",3
"53","Natural Born Killers (1994)",2
"54","Outbreak (1995)",2
"55","Professional, The (1994)",5
"56","Pulp Fiction (1994)",2
"57","Priest (1994)",3
"58","Quiz Show (1994)",3
"59","Three Colors: Red (1994)",3
"60","Three Colors: Blue (1993)",3
"61","Three Colors: White (1994)",3
"62","Stargate (1994)",2
"63","Santa Clause, The (1994)",1
"64","Shawshank Redemption, The (1994)",3
"65","What's Eating Gilbert Grape (1993)",6
"66","While You Were Sleeping (1995)",5
"67","Ace Ventura: Pet Detective (1994)",4
"68","Crow, The (1994)",5
"69","Forrest Gump (1994)",1
"70","Four Weddings and a Funeral (1994)",5
"71","Lion King, The (1994)",1
"72","Mask, The (1994)",1
"73","Maverick (1994)",1
"74","Faster Pussycat! Kill! Kill! (1965)",1
"75","Brother Minister: The Assassination of Malcolm X (1994)",1
"76","Carlito's Way (1993)",2
"77","Firm, The (1993)",2
"78","Free Willy (1993)",1
"79","Fugitive, The (1993)",2
"80","Hot Shots! Part Deux (1993)",1
"81","Hudsucker Proxy, The (1994)",5
"82","Jurassic Park (1993)",2
"83","Much Ado About Nothing (1993)",5
"84","Robert A. Heinlein's The Puppet Masters (1994)",2
"85","Ref, The (1994)",4
"86","Remains of the Day, The (1993)",3
"87","Searching for Bobby Fischer (1993)",3
"88","Sleepless in Seattle (1993)",5
"89","Blade Runner (1982)",2
"90","So I Married an Axe Murderer (1993)",5
"91","Nightmare Before Christmas, The (1993)",1
"92","True Romance (1993)",5
"93","Welcome to the Dollhouse (1995)",6
"94","Home Alone (1990)",1
"95","Aladdin (1992)",1
"96","Terminator 2: Judgment Day (1991)",2
"97","Dances with Wolves (1990)",1
"98","Silence of the Lambs, The (1991)",2
"99","Snow White and the Seven Dwarfs (1937)",1
"100","Fargo (1996)",2
"101","Heavy Metal (1981)",2
"102","Aristocats, The (1970)",1
"103","All Dogs Go to Heaven 2 (1996)",1
"104","Theodore Rex (1995)",4
"105","Sgt. Bilko (1996)",4
"106","Diabolique (1996)",2
"107","Moll Flanders (1996)",3
"108","Kids in the Hall: Brain Candy (1996)",4
"109","Mystery Science Theater 3000: The Movie (1996)",2
"110","Operation Dumbo Drop (1995)",1
"111","Truth About Cats & Dogs, The (1996)",5
"112","Flipper (1996)",1
"113","Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",3
"114","Wallace & Gromit: The Best of Aardman Animation (1996)",1
"115","Haunted World of Edward D. Wood Jr., The (1995)",1
"116","Cold Comfort Farm (1995)",4
"117","Rock, The (1996)",2
"118","Twister (1996)",2
"119","Maya Lin: A Strong Clear Vision (1994)",1
"120","Striptease (1996)",1
"121","Independence Day (ID4) (1996)",1
"122","Cable Guy, The (1996)",4
"123","Frighteners, The (1996)",1
"124","Lone Star (1996)",2
"125","Phenomenon (1996)",5
"126","Spitfire Grill, The (1996)",3
"127","Godfather, The (1972)",2
"128","Supercop (1992)",2
"129","Bound (1996)",5
"130","Kansas City (1996)",2
"131","Breakfast at Tiffany's (1961)",5
"132","Wizard of Oz, The (1939)",1
"133","Gone with the Wind (1939)",1
"134","Citizen Kane (1941)",3
"135","2001: A Space Odyssey (1968)",2
"136","Mr. Smith Goes to Washington (1939)",3
"137","Big Night (1996)",3
"138","D3: The Mighty Ducks (1996)",1
"139","Love Bug, The (1969)",1
"140","Homeward Bound: The Incredible Journey (1993)",1
"141","20,000 Leagues Under the Sea (1954)",1
"142","Bedknobs and Broomsticks (1971)",1
"143","Sound of Music, The (1965)",1
"144","Die Hard (1988)",2
"145","Lawnmower Man, The (1992)",2
"146","Unhook the Stars (1996)",3
"147","Long Kiss Goodnight, The (1996)",2
"148","Ghost and the Darkness, The (1996)",2
"149","Jude (1996)",3
"150","Swingers (1996)",6
"151","Willy Wonka and the Chocolate Factory (1971)",1
"152","Sleeper (1973)",2
"153","Fish Called Wanda, A (1988)",4
"154","Monty Python's Life of Brian (1979)",4
"155","Dirty Dancing (1987)",1
"156","Reservoir Dogs (1992)",2
"157","Platoon (1986)",1
"158","Weekend at Bernie's (1989)",4
"159","Basic Instinct (1992)",2
"160","Glengarry Glen Ross (1992)",3
"161","Top Gun (1986)",5
"162","On Golden Pond (1981)",3
"163","Return of the Pink Panther, The (1974)",4
"164","Abyss, The (1989)",2
"165","Jean de Florette (1986)",3
"166","Manon of the Spring (Manon des sources) (1986)",3
"167","Private Benjamin (1980)",4
"168","Monty Python and the Holy Grail (1974)",4
"169","Wrong Trousers, The (1993)",1
"170","Cinema Paradiso (1988)",5
"171","Delicatessen (1991)",2
"172","Empire Strikes Back, The (1980)",1
"173","Princess Bride, The (1987)",2
"174","Raiders of the Lost Ark (1981)",2
"175","Brazil (1985)",2
"176","Aliens (1986)",1
"177","Good, The Bad and The Ugly, The (1966)",1
"178","12 Angry Men (1957)",3
"179","Clockwork Orange, A (1971)",2
"180","Apocalypse Now (1979)",1
"181","Return of the Jedi (1983)",1
"182","GoodFellas (1990)",2
"183","Alien (1979)",2
"184","Army of Darkness (1993)",2
"185","Psycho (1960)",5
"186","Blues Brothers, The (1980)",1
"187","Godfather: Part II, The (1974)",2
"188","Full Metal Jacket (1987)",1
"189","Grand Day Out, A (1992)",1
"190","Henry V (1989)",1
"191","Amadeus (1984)",2
"192","Raging Bull (1980)",3
"193","Right Stuff, The (1983)",3
"194","Sting, The (1973)",1
"195","Terminator, The (1984)",2
"196","Dead Poets Society (1989)",3
"197","Graduate, The (1967)",5
"198","Nikita (La Femme Nikita) (1990)",2
"199","Bridge on the River Kwai, The (1957)",1
"200","Shining, The (1980)",1
"201","Evil Dead II (1987)",2
"202","Groundhog Day (1993)",5
"203","Unforgiven (1992)",1
"204","Back to the Future (1985)",2
"205","Patton (1970)",1
"206","Akira (1988)",2
"207","Cyrano de Bergerac (1990)",5
"208","Young Frankenstein (1974)",1
"209","This Is Spinal Tap (1984)",1
"210","Indiana Jones and the Last Crusade (1989)",2
"211","M*A*S*H (1970)",1
"212","Unbearable Lightness of Being, The (1988)",3
"213","Room with a View, A (1986)",5
"214","Pink Floyd - The Wall (1982)",1
"215","Field of Dreams (1989)",3
"216","When Harry Met Sally... (1989)",5
"217","Bram Stoker's Dracula (1992)",5
"218","Cape Fear (1991)",2
"219","Nightmare on Elm Street, A (1984)",1
"220","Mirror Has Two Faces, The (1996)",5
"221","Breaking the Waves (1996)",3
"222","Star Trek: First Contact (1996)",2
"223","Sling Blade (1996)",2
"224","Ridicule (1996)",3
"225","101 Dalmatians (1996)",1
"226","Die Hard 2 (1990)",2
"227","Star Trek VI: The Undiscovered Country (1991)",2
"228","Star Trek: The Wrath of Khan (1982)",2
"229","Star Trek III: The Search for Spock (1984)",2
"230","Star Trek IV: The Voyage Home (1986)",2
"231","Batman Returns (1992)",2
"232","Young Guns (1988)",1
"233","Under Siege (1992)",2
"234","Jaws (1975)",2
"235","Mars Attacks! (1996)",1
"236","Citizen Ruth (1996)",6
"237","Jerry Maguire (1996)",5
"238","Raising Arizona (1987)",4
"239","Sneakers (1992)",2
"240","Beavis and Butt-head Do America (1996)",1
"241","Last of the Mohicans, The (1992)",1
"242","Kolya (1996)",4
"243","Jungle2Jungle (1997)",1
"244","Smilla's Sense of Snow (1997)",2
"245","Devil's Own, The (1997)",1
"246","Chasing Amy (1997)",5
"247","Turbo: A Power Rangers Movie (1997)",1
"248","Grosse Pointe Blank (1997)",1
"249","Austin Powers: International Man of Mystery (1997)",4
"250","Fifth Element, The (1997)",2
"251","Shall We Dance? (1996)",4
"252","Lost World: Jurassic Park, The (1997)",2
"253","Pillow Book, The (1995)",5
"254","Batman & Robin (1997)",2
"255","My Best Friend's Wedding (1997)",5
"256","When the Cats Away (Chacun cherche son chat) (1996)",5
"257","Men in Black (1997)",2
"258","Contact (1997)",1
"259","George of the Jungle (1997)",1
"260","Event Horizon (1997)",2
"261","Air Bud (1997)",1
"262","In the Company of Men (1997)",3
"263","Steel (1997)",2
"264","Mimic (1997)",2
"265","Hunt for Red October, The (1990)",2
"266","Kull the Conqueror (1997)",2
"267","unknown",1
"268","Chasing Amy (1997)",5
"269","Full Monty, The (1997)",4
"270","Gattaca (1997)",2
"271","Starship Troopers (1997)",1
"272","Good Will Hunting (1997)",3
"273","Heat (1995)",2
"274","Sabrina (1995)",5
"275","Sense and Sensibility (1995)",5
"276","Leaving Las Vegas (1995)",5
"277","Restoration (1995)",3
"278","Bed of Roses (1996)",5
"279","Once Upon a Time... When We Were Colored (1995)",3
"280","Up Close and Personal (1996)",5
"281","River Wild, The (1994)",2
"282","Time to Kill, A (1996)",3
"283","Emma (1996)",5
"284","Tin Cup (1996)",5
"285","Secrets & Lies (1996)",3
"286","English Patient, The (1996)",1
"287","Marvin's Room (1996)",3
"288","Scream (1996)",2
"289","Evita (1996)",1
"290","Fierce Creatures (1997)",4
"291","Absolute Power (1997)",2
"292","Rosewood (1997)",3
"293","Donnie Brasco (1997)",2
"294","Liar Liar (1997)",4
"295","Breakdown (1997)",2
"296","Promesse, La (1996)",3
"297","Ulee's Gold (1997)",3
"298","Face/Off (1997)",2
"299","Hoodlum (1997)",2
"300","Air Force One (1997)",2
"301","In & Out (1997)",4
"302","L.A. Confidential (1997)",2
"303","Ulee's Gold (1997)",3
"304","Fly Away Home (1996)",1
"305","Ice Storm, The (1997)",3
"306","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",5
"307","Devil's Advocate, The (1997)",2
"308","FairyTale: A True Story (1997)",1
"309","Deceiver (1997)",2
"310","Rainmaker, The (1997)",3
"311","Wings of the Dove, The (1997)",5
"312","Midnight in the Garden of Good and Evil (1997)",2
"313","Titanic (1997)",5
"314","3 Ninjas: High Noon At Mega Mountain (1998)",1
"315","Apt Pupil (1998)",2
"316","As Good As It Gets (1997)",6
"317","In the Name of the Father (1993)",3
"318","Schindler's List (1993)",1
"319","Everyone Says I Love You (1996)",1
"320","Paradise Lost: The Child Murders at Robin Hood Hills (1996)",1
"321","Mother (1996)",4
"322","Murder at 1600 (1997)",2
"323","Dante's Peak (1997)",2
"324","Lost Highway (1997)",2
"325","Crash (1996)",2
"326","G.I. Jane (1997)",1
"327","Cop Land (1997)",2
"328","Conspiracy Theory (1997)",2
"329","Desperate Measures (1998)",2
"330","187 (1997)",3
"331","Edge, The (1997)",2
"332","Kiss the Girls (1997)",2
"333","Game, The (1997)",2
"334","U Turn (1997)",2
"335","How to Be a Player (1997)",4
"336","Playing God (1997)",2
"337","House of Yes, The (1997)",1
"338","Bean (1997)",4
"339","Mad City (1997)",2
"340","Boogie Nights (1997)",3
"341","Critical Care (1997)",4
"342","Man Who Knew Too Little, The (1997)",2
"343","Alien: Resurrection (1997)",2
"344","Apostle, The (1997)",3
"345","Deconstructing Harry (1997)",6
"346","Jackie Brown (1997)",2
"347","Wag the Dog (1997)",6
"348","Desperate Measures (1998)",2
"349","Hard Rain (1998)",2
"350","Fallen (1998)",2
"351","Prophecy II, The (1998)",1
"352","Spice World (1997)",1
"353","Deep Rising (1998)",2
"354","Wedding Singer, The (1998)",5
"355","Sphere (1998)",2
"356","Client, The (1994)",2
"357","One Flew Over the Cuckoo's Nest (1975)",3
"358","Spawn (1997)",2
"359","Assignment, The (1997)",2
"360","Wonderland (1997)",1
"361","Incognito (1997)",2
"362","Blues Brothers 2000 (1998)",1
"363","Sudden Death (1995)",2
"364","Ace Ventura: When Nature Calls (1995)",4
"365","Powder (1995)",3
"366","Dangerous Minds (1995)",3
"367","Clueless (1995)",4
"368","Bio-Dome (1996)",4
"369","Black Sheep (1996)",4
"370","Mary Reilly (1996)",2
"371","Bridges of Madison County, The (1995)",5
"372","Jeffrey (1995)",4
"373","Judge Dredd (1995)",2
"374","Mighty Morphin Power Rangers: The Movie (1995)",1
"375","Showgirls (1995)",3
"376","Houseguest (1994)",4
"377","Heavyweights (1994)",1
"378","Miracle on 34th Street (1994)",3
"379","Tales From the Crypt Presents: Demon Knight (1995)",1
"380","Star Trek: Generations (1994)",2
"381","Muriel's Wedding (1994)",5
"382","Adventures of Priscilla, Queen of the Desert, The (1994)",6
"383","Flintstones, The (1994)",1
"384","Naked Gun 33 1/3: The Final Insult (1994)",4
"385","True Lies (1994)",2
"386","Addams Family Values (1993)",4
"387","Age of Innocence, The (1993)",3
"388","Beverly Hills Cop III (1994)",1
"389","Black Beauty (1994)",1
"390","Fear of a Black Hat (1993)",4
"391","Last Action Hero (1993)",1
"392","Man Without a Face, The (1993)",3
"393","Mrs. Doubtfire (1993)",4
"394","Radioland Murders (1994)",2
"395","Robin Hood: Men in Tights (1993)",4
"396","Serial Mom (1994)",2
"397","Striking Distance (1993)",2
"398","Super Mario Bros. (1993)",1
"399","Three Musketeers, The (1993)",2
"400","Little Rascals, The (1994)",1
"401","Brady Bunch Movie, The (1995)",4
"402","Ghost (1990)",5
"403","Batman (1989)",2
"404","Pinocchio (1940)",1
"405","Mission: Impossible (1996)",2
"406","Thinner (1996)",2
"407","Spy Hard (1996)",4
"408","Close Shave, A (1995)",1
"409","Jack (1996)",6
"410","Kingpin (1996)",4
"411","Nutty Professor, The (1996)",1
"412","Very Brady Sequel, A (1996)",4
"413","Tales from the Crypt Presents: Bordello of Blood (1996)",1
"414","My Favorite Year (1982)",4
"415","Apple Dumpling Gang, The (1975)",1
"416","Old Yeller (1957)",1
"417","Parent Trap, The (1961)",1
"418","Cinderella (1950)",1
"419","Mary Poppins (1964)",1
"420","Alice in Wonderland (1951)",1
"421","William Shakespeare's Romeo and Juliet (1996)",5
"422","Aladdin and the King of Thieves (1996)",1
"423","E.T. the Extra-Terrestrial (1982)",1
"424","Children of the Corn: The Gathering (1996)",1
"425","Bob Roberts (1992)",4
"426","Transformers: The Movie, The (1986)",1
"427","To Kill a Mockingbird (1962)",3
"428","Harold and Maude (1971)",4
"429","Day the Earth Stood Still, The (1951)",1
"430","Duck Soup (1933)",1
"431","Highlander (1986)",2
"432","Fantasia (1940)",1
"433","Heathers (1989)",4
"434","Forbidden Planet (1956)",2
"435","Butch Cassidy and the Sundance Kid (1969)",1
"436","American Werewolf in London, An (1981)",1
"437","Amityville 1992: It's About Time (1992)",1
"438","Amityville 3-D (1983)",1
"439","Amityville: A New Generation (1993)",1
"440","Amityville II: The Possession (1982)",1
"441","Amityville Horror, The (1979)",1
"442","Amityville Curse, The (1990)",1
"443","Birds, The (1963)",1
"444","Blob, The (1958)",2
"445","Body Snatcher, The (1945)",1
"446","Burnt Offerings (1976)",1
"447","Carrie (1976)",1
"448","Omen, The (1976)",1
"449","Star Trek: The Motion Picture (1979)",2
"450","Star Trek V: The Final Frontier (1989)",2
"451","Grease (1978)",1
"452","Jaws 2 (1978)",2
"453","Jaws 3-D (1983)",2
"454","Bastard Out of Carolina (1996)",3
"455","Jackie Chan's First Strike (1996)",2
"456","Beverly Hills Ninja (1997)",1
"457","Free Willy 3: The Rescue (1997)",1
"458","Nixon (1995)",3
"459","Cry, the Beloved Country (1995)",3
"460","Crossing Guard, The (1995)",3
"461","Smoke (1995)",3
"462","Like Water For Chocolate (Como agua para chocolate) (1992)",5
"463","Secret of Roan Inish, The (1994)",2
"464","Vanya on 42nd Street (1994)",3
"465","Jungle Book, The (1994)",2
"466","Red Rock West (1992)",2
"467","Bronx Tale, A (1993)",3
"468","Rudy (1993)",3
"469","Short Cuts (1993)",3
"470","Tombstone (1993)",1
"471","Courage Under Fire (1996)",1
"472","Dragonheart (1996)",1
"473","James and the Giant Peach (1996)",1
"474","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",1
"475","Trainspotting (1996)",3
"476","First Wives Club, The (1996)",4
"477","Matilda (1996)",1
"478","Philadelphia Story, The (1940)",5
"479","Vertigo (1958)",2
"480","North by Northwest (1959)",1
"481","Apartment, The (1960)",6
"482","Some Like It Hot (1959)",1
"483","Casablanca (1942)",1
"484","Maltese Falcon, The (1941)",2
"485","My Fair Lady (1964)",1
"486","Sabrina (1954)",5
"487","Roman Holiday (1953)",5
"488","Sunset Blvd. (1950)",2
"489","Notorious (1946)",5
"490","To Catch a Thief (1955)",5
"491","Adventures of Robin Hood, The (1938)",2
"492","East of Eden (1955)",3
"493","Thin Man, The (1934)",2
"494","His Girl Friday (1940)",4
"495","Around the World in 80 Days (1956)",1
"496","It's a Wonderful Life (1946)",3
"497","Bringing Up Baby (1938)",4
"498","African Queen, The (1951)",1
"499","Cat on a Hot Tin Roof (1958)",3
"500","Fly Away Home (1996)",1
"501","Dumbo (1941)",1
"502","Bananas (1971)",1
"503","Candidate, The (1972)",3
"504","Bonnie and Clyde (1967)",2
"505","Dial M for Murder (1954)",2
"506","Rebel Without a Cause (1955)",3
"507","Streetcar Named Desire, A (1951)",3
"508","People vs. Larry Flynt, The (1996)",3
"509","My Left Foot (1989)",3
"510","Magnificent Seven, The (1954)",1
"511","Lawrence of Arabia (1962)",2
"512","Wings of Desire (1987)",5
"513","Third Man, The (1949)",2
"514","Annie Hall (1977)",5
"515","Boot, Das (1981)",1
"516","Local Hero (1983)",4
"517","Manhattan (1979)",5
"518","Miller's Crossing (1990)",3
"519","Treasure of the Sierra Madre, The (1948)",2
"520","Great Escape, The (1963)",2
"521","Deer Hunter, The (1978)",1
"522","Down by Law (1986)",6
"523","Cool Hand Luke (1967)",6
"524","Great Dictator, The (1940)",4
"525","Big Sleep, The (1946)",2
"526","Ben-Hur (1959)",2
"527","Gandhi (1982)",3
"528","Killing Fields, The (1984)",1
"529","My Life as a Dog (Mitt liv som hund) (1985)",3
"530","Man Who Would Be King, The (1975)",2
"531","Shine (1996)",5
"532","Kama Sutra: A Tale of Love (1996)",5
"533","Daytrippers, The (1996)",2
"534","Traveller (1997)",3
"535","Addicted to Love (1997)",5
"536","Ponette (1996)",3
"537","My Own Private Idaho (1991)",3
"538","Anastasia (1997)",1
"539","Mouse Hunt (1997)",1
"540","Money Train (1995)",2
"541","Mortal Kombat (1995)",2
"542","Pocahontas (1995)",1
"543","Misérables, Les (1995)",1
"544","Things to Do in Denver when You're Dead (1995)",5
"545","Vampire in Brooklyn (1995)",5
"546","Broken Arrow (1996)",2
"547","Young Poisoner's Handbook, The (1995)",2
"548","NeverEnding Story III, The (1994)",1
"549","Rob Roy (1995)",1
"550","Die Hard: With a Vengeance (1995)",2
"551","Lord of Illusions (1995)",1
"552","Species (1995)",2
"553","Walk in the Clouds, A (1995)",5
"554","Waterworld (1995)",2
"555","White Man's Burden (1995)",3
"556","Wild Bill (1995)",1
"557","Farinelli: il castrato (1994)",1
"558","Heavenly Creatures (1994)",2
"559","Interview with the Vampire (1994)",1
"560","Kid in King Arthur's Court, A (1995)",1
"561","Mary Shelley's Frankenstein (1994)",1
"562","Quick and the Dead, The (1995)",1
"563","Stephen King's The Langoliers (1995)",1
